x,y,z,reflectance
0.0,73.0,25.704635036187828,0.5150018
144.0,52.0,43.73026045192165,0.5145999
12.0,116.0,19.732066259519616,0.50776714
128.0,50.0,61.434839291772725,0.5520674
92.0,114.0,59.77177551687046,0.5410412
72.0,71.0,107.54887604250612,0.5674527
146.0,121.0,17.854569243699196,0.4979653
1.0,15.0,11.11289130928129,0.5196892
52.0,63.0,87.18260054000206,0.56543756
146.0,98.0,33.03911728856922,0.5167815
144.0,55.0,44.29900764255174,0.50053453
22.0,102.0,38.78213581105057,0.5540733
74.0,69.0,110.85182945118294,0.5959945
40.0,51.0,70.735593910846,0.5385595
16.0,94.0,37.20949153023079,0.50023174
111.0,51.0,80.6260888652298,0.5213275
28.0,74.0,57.976204409015764,0.54798734
8.0,52.0,34.50288836714438,0.49910435
27.0,81.0,54.8056376820144,0.5376706
153.0,54.0,33.6963316496239,0.5247625
70.0,66.0,108.05500410928207,0.53833616
71.0,32.0,81.06407702954795,0.53115666
137.0,93.0,45.091519253125426,0.5435213
93.0,6.0,50.37885623938238,0.53341746
136.0,58.0,54.03160401910107,0.56195056
69.0,89.0,88.00819464681467,0.56455106
89.0,78.0,100.50562933037135,0.54686624
80.0,9.0,55.57832322095,0.5438859
15.0,51.0,42.357526710333445,0.5294372
109.0,57.0,85.05666608112709,0.5560087
85.0,117.0,57.645290826613895,0.5836005
139.0,73.0,50.093703832183756,0.52207637
41.0,61.0,74.18422361398142,0.529573
61.0,20.0,63.86291821603555,0.55114484
45.0,125.0,37.6248172584284,0.49783573
46.0,41.0,71.91946542645299,0.5545795
105.0,70.0,89.88588775843523,0.54181165
61.0,125.0,45.164815240097255,0.540118
33.0,104.0,47.71056650435037,0.50602275
72.0,5.0,50.26072072948609,0.5594444
156.0,118.0,10.798351660792216,0.5200655
148.0,114.0,21.137567864203962,0.5289089
4.0,113.0,14.082838397400298,0.51977336
49.0,24.0,60.72465037495999,0.5297581
147.0,43.0,37.758164464822876,0.5459759
84.0,16.0,63.58256626477687,0.5416885
29.0,61.0,60.16027504302154,0.5486005
66.0,94.0,81.22296379833335,0.5725608
81.0,98.0,80.15846939466795,0.55088717
5.0,75.0,31.21243495107509,0.5032344
152.0,92.0,29.513509969450237,0.53671885
97.0,4.0,46.95536780376722,0.54941076
10.0,95.0,30.32834284144753,0.5141008
116.0,78.0,74.7567549847251,0.56302655
55.0,62.0,90.62386483770932,0.5769052
63.0,111.0,61.4582700431439,0.5654
103.0,2.0,42.543285101117085,0.5390318
1.0,33.0,20.597823550352622,0.5042634
102.0,32.0,74.51481077290774,0.5422895
39.0,91.0,62.498674458544954,0.54674596
74.0,46.0,97.77608407538423,0.5853822
117.0,92.0,65.65102599303502,0.52388287
128.0,19.0,42.933945025917595,0.54756224
159.0,36.0,21.826901255623138,0.50304013
80.0,32.0,82.51829714673454,0.5281408
32.0,23.0,46.05931018879999,0.5250008
12.0,19.0,24.490295474561414,0.512855
88.0,47.0,97.9932105820089,0.55920136
0.0,32.0,19.07742644156098,0.51882917
52.0,72.0,85.89113554885854,0.56944376
16.0,125.0,16.440632085132783,0.50889117
70.0,37.0,86.27541607409204,0.5787671
74.0,30.0,79.56034305711117,0.5628057
58.0,106.0,64.46490891820368,0.5582806
125.0,88.0,60.26353607760817,0.4977146
1.0,82.0,25.095522992339504,0.53001255
89.0,71.0,106.64508859869952,0.54245573
13.0,13.0,21.37376542551438,0.48397544
131.0,102.0,45.50474724570143,0.56631863
56.0,57.0,90.71741964588637,0.5590662
45.0,101.0,60.34397378793459,0.5296113
35.0,101.0,51.76216270261498,0.5117786
94.0,84.0,91.40484434682566,0.55368817
36.0,86.0,62.37950059900979,0.5399818
43.0,11.0,44.28994653864026,0.5483768
1.0,96.0,20.164006441784245,0.48496905
159.0,72.0,26.993804297646967,0.5050155
6.0,79.0,31.56078979073239,0.5026258
133.0,23.0,41.51394406896372,0.5067091
119.0,122.0,38.134367972163844,0.51919216
73.0,9.0,55.05865686035983,0.53295124
36.0,89.0,60.72465037495999,0.5426891
79.0,87.0,93.03457498311099,0.57136273
145.0,13.0,23.227384945997017,0.49740645
142.0,35.0,39.82773881563129,0.5333517
76.0,44.0,96.11000821856413,0.5747782
131.0,8.0,31.281996492586327,0.49069434
37.0,107.0,48.771665681723974,0.5464261
42.0,44.0,69.70210691509546,0.56663823
151.0,29.0,27.281898523193355,0.5460189
8.0,65.0,35.658034922283605,0.5210536
107.0,81.0,82.62826815006542,0.58706844
28.0,82.0,55.546386504068465,0.55067617
87.0,55.0,106.64508859869952,0.580743
66.0,92.0,83.33240947209715,0.57019323
43.0,9.0,42.357526710333445,0.53046495
152.0,120.0,13.160708789596217,0.5003917
74.0,64.0,112.97218071501273,0.58021414
65.0,21.0,66.65745760400716,0.54430634
140.0,107.0,33.53750989520397,0.54380757
149.0,39.0,34.038792072861824,0.523288
137.0,36.0,45.615329077203796,0.5350794
49.0,12.0,49.09018953972452,0.5444416
